id,country_code,year,GDP (constant 2015 US$),gdp,GDP growth (annual %),inflation_rate,trade_balance,Trade in services (% of GDP)
1,ABW,2021,2958411905.44105,2929446578.25104,24.1326273569798,-4.91262490390014,147.015576101595,101.195726912403
2,ABW,2022,3210407008.76028,3279343543.60416,8.51791810517545,3.15727939363973,172.884171078304,113.001286830785
3,ABW,2023,3347289755.67821,3648573136.15155,4.26371941452948,6.70946117676064,169.798282934344,
4,AFE,2021,1004645882051.53,1085745178850.97,4.57639280212379,6.22269912307469,55.5623957956905,8.40153034013552
5,AFE,2022,1040349774688.04,1191423176242.96,3.5538783639465,9.35876732357862,58.5361627735347,10.1120107441862
6,AFE,2023,1064487323079.33,1245472471675.95,2.32013780158928,7.80122989057329,56.8723924609556,10.4441941989972
7,AFG,2021,16345202562.5485,14259995441.0759,-20.7388393676343,2.83899625081041,51.4117163747271,
8,AFG,2022,15325233810.1388,14497243872.1337,-6.24017199240269,9.40623933931322,72.8854696086536,
9,AFG,2023,15740683549.2312,17233051620.1117,2.71088679128353,2.9616535410169,67.2733432760503,
10,AFW,2021,864618743927.334,849312422223.205,4.03762951350967,4.64220371005912,,8.73184176047744
11,AFW,2022,897385026208.953,883973910898.854,3.78967984579947,6.58712256843671,,8.42649109001042
12,AFW,2023,927489896195.979,799105950273.831,3.3547328190002,3.38669113752862,,
13,AGO,2021,82375341952.5616,66505129987.7235,1.19921052145153,38.8237218374918,74.4644985871074,10.741839537244
14,AGO,2022,84883445838.1604,104399746853.401,3.04472652391918,13.7105940226231,69.6910705054094,10.8995340229547
15,AGO,2023,85733374749.9794,84824654481.7249,1.00128936028298,17.6195377226942,67.0416886089289,10.2314902501777
16,ALB,2021,13659219676.8332,18032010563.7558,8.96955339178935,3.44439880912799,75.5903160937554,33.9021744296444
17,ALB,2022,14318507636.8055,19017242585.7803,4.82668831434437,9.86157415467682,84.6980639208685,39.6075648183932
18,ALB,2023,14882173624.9218,23547179830.4413,3.93662525742167,6.06604947510885,82.4936845982876,44.9814385777704
19,AND,2021,2893905656.78942,3324647529.381,8.28677879049404,2.5588606935971,,86.5395268201732
20,AND,2022,3170696511.92972,3380612573.32922,9.56461225648184,4.23665226454663,,94.4348906803412
21,AND,2023,3252613194.16191,3785067331.7625,2.58355480961319,6.29560082401824,,
22,ARB,2021,2766846308188.48,2969239218342.03,4.03110635309368,12.7208752145056,81.5619817577191,13.8677806572736
23,ARB,2022,2925149568927.99,3609805711776.49,5.72143310855439,14.8098061189166,88.9633218366201,14.970357863475
24,ARB,2023,2955008072441.98,3512421040998.19,1.02075134315025,0.854841037372282,90.5657752962819,17.7879062216393
25,ARE,2021,400036290943.156,415178792769.884,4.35475529921305,13.8437703394455,186.108932599898,
26,ARE,2022,430077804411.91,502731935197.487,7.50969703221836,12.6298936875673,188.945461747377,
27,ARE,2023,445641058027.777,514130432653.081,3.61870653547174,-1.30420016236501,202.332535998586,
28,ARG,2021,568636554720.066,486564085480.036,10.4418119882506,53.8020877665554,33.078689567466,4.7018601528908
29,ARG,2022,598603016935.287,632790070063.124,5.26987967384072,69.8760842459268,31.5477080051071,5.63382122630386
30,ARG,2023,588959512629.692,646075277525.125,-1.61100162090189,135.368876310592,26.6405121334437,5.98026711969411
31,ARM,2021,12633615899.6682,13878908628.9378,5.80000000065645,6.90051365787157,79.6698888228399,22.6029577373403
32,ARM,2022,14225451502.9981,19513506553.1251,12.5999999997766,7.98587852828175,101.41077826094,36.3564411379195
33,ARM,2023,15406163977.6894,24085749592.3359,8.29999999959539,2.67300354889213,119.714642963872,37.6157563165807
34,ASM,2021,651422900.763359,750000000.0,-0.782472613458523,4.8425556863277,136.8,
35,ASM,2022,662725190.839695,871000000.0,1.73501577287065,14.1527648578811,124.684270952928,
