id,country_code,year,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",co2_emissions,forest_area
1,ABW,2021,100,100,0.5006,2.333333333
2,ABW,2022,100,100,0.5027,2.333333333
3,ABW,2023,,,0.53,
4,AFE,2021,32.80913843,75.48312427,606.3945,29.95519379
5,AFE,2022,33.76078154,75.84780915,588.4335,29.7372051
6,AFE,2023,,,579.8655,
7,AFG,2021,97.1,99.5,7.9308,1.852781994
8,AFG,2022,81.7,95.9,8.2599,1.852781994
9,AFG,2023,,,8.7073,
10,AFW,2021,25.90441599,86.68244341,249.1554,19.73203653
11,AFW,2022,25.35726706,86.79538605,251.4104,19.64748777
12,AFW,2023,,,245.6408,
13,AGO,2021,,75,25.2628,52.98172239
14,AGO,2022,,76.2,27.353,52.53649723
15,AGO,2023,,,28.2299,
16,ALB,2021,100,100,5.0393,28.7919708
17,ALB,2022,100,100,4.609,28.7919708
18,ALB,2023,,,4.5918,
19,AND,2021,100,100,,34.04255319
20,AND,2022,100,100,,34.04255319
21,ARB,2021,82.25547549,97.56872095,2005.5031,2.791120845
22,ARB,2022,82.36449612,97.89345094,2053.4305,2.773553927
23,ARB,2023,,,2089.4414,
24,ARE,2021,100,100,201.3251,4.467755562
25,ARE,2022,100,100,206.8995,4.467755562
26,ARE,2023,,,205.9913,
27,ARG,2021,100,100,190.662,10.40076395
28,ARG,2022,100,100,193.4816,10.3611378
29,ARG,2023,,,183.7784,
30,ARM,2021,100,99.9,7.5092,11.53003161
31,ARM,2022,100,100,7.2893,11.52265543
32,ARM,2023,,,7.7251,
33,ASM,2021,,,0.0001,85.5
34,ASM,2022,,,0.0001,85.35
35,ASM,2023,,,0.0001,
36,ATG,2021,100,100,0.3052,18.30295455
37,ATG,2022,100,100,0.3065,18.16159091
38,ATG,2023,,,0.3231,
39,AUS,2021,100,100,384.6772,17.42131456
40,AUS,2022,100,100,374.8785,17.42131456
41,AUS,2023,,,373.6164,
42,AUT,2021,100,100,66.1753,47.1720795
43,AUT,2022,100,100,61.2237,47.20613185
44,AUT,2023,,,58.8151,
