country_code,year,indicator_id,value
AFG,2021,1,16345202562.5485
AFG,2021,2,1101444000000
AFG,2021,3,1251172000000
AFG,2021,4,14259995441.0759
AFG,2021,5,113.593791422896
AFG,2021,6,113.593791422896
AFG,2021,7,-20.7388393676343
AFG,2021,8,408.625855217403
AFG,2021,9,27535.8163810913
AFG,2021,10,31278.9778265284
AFG,2021,11,356.496214115892
AFG,2021,12,-22.5844818732987
AFG,2021,13,10611.84029172
AFG,2021,14,..
AFG,2021,15,..
AFG,2021,16,1251172000000
AFG,2021,17,51.4117163747271
AFG,2021,18,..
AFG,2021,38,0.0924685426083421
AFG,2021,40,0.389304648467567
AFE,2021,1,1004645882051.53
AFE,2021,2,..
AFE,2021,3,..
AFE,2021,4,1085745178850.97
AFE,2021,5,..
AFE,2021,6,..
AFE,2021,7,4.57639280212379
AFE,2021,8,1408.86083752216
AFE,2021,9,..
AFE,2021,10,..
AFE,2021,11,1522.59008804972
AFE,2021,12,1.84208672684578
AFE,2021,13,11001.5151651286
AFE,2021,14,..
AFE,2021,15,..
AFE,2021,16,..
AFE,2021,17,55.5623957956905
AFE,2021,18,8.40153034013552
AFE,2021,38,0.219161172295634
AFE,2021,40,2.63148610656156
AFW,2021,1,864618743927.334
AFW,2021,2,..
AFW,2021,3,..
AFW,2021,4,849312422223.205
AFW,2021,5,..
AFW,2021,6,..
AFW,2021,7,4.03762951350967
AFW,2021,8,1779.34015871995
AFW,2021,9,..
AFW,2021,10,..
AFW,2021,11,1747.84054911545
AFW,2021,12,1.60719668963951
AFW,2021,13,12100.3369564702
AFW,2021,14,..
AFW,2021,15,..
AFW,2021,16,..
AFW,2021,17,..
AFW,2021,18,8.73184176047744
AFW,2021,38,0.109120400224081
AFW,2021,40,2.062030012813
ALB,2021,1,13659219676.8332
ALB,2021,2,1624975385392.04
ALB,2021,3,1866673733560
ALB,2021,4,18032010563.7558
ALB,2021,5,114.873969805373
ALB,2021,6,114.873969805373
ALB,2021,7,8.96955339178935
ALB,2021,8,4858.05201500931
ALB,2021,9,577940.404511788
ALB,2021,10,663903.085771923
ALB,2021,11,6413.28328605026
ALB,2021,12,9.9843075683015
ALB,2021,13,37416.7466566346
ALB,2021,14,..
ALB,2021,15,..
ALB,2021,16,1866673733560
ALB,2021,17,75.5903160937554
ALB,2021,18,33.9021744296444
ALB,2021,38,0.111231142400922
ALB,2021,40,0.138488454188665
DZA,2021,1,199488888152.994
DZA,2021,2,8091325381240.62
DZA,2021,3,25153206000000
DZA,2021,4,186231205262.082
DZA,2021,5,310.866326774061
DZA,2021,6,310.866326774061
DZA,2021,7,3.79999999999995
DZA,2021,8,4456.74687641147
DZA,2021,9,180766.906130715
DZA,2021,10,561943.441111667
DZA,2021,11,4160.55926736925
DZA,2021,12,2.13263632780773
DZA,2021,13,60966.5199082311
DZA,2021,14,..
DZA,2021,15,..
DZA,2021,16,25153206000000
DZA,2021,17,46.8370592599607
DZA,2021,18,5.43624456054879
DZA,2021,38,0.276996933801156
DZA,2021,40,0.129189496160402
ASM,2021,1,651422900.763359
ASM,2021,2,634000000
ASM,2021,3,750000000
ASM,2021,4,750000000
ASM,2021,5,118.296529968454
ASM,2021,6,118.296529968454
ASM,2021,7,-0.782472613458523
ASM,2021,8,13233.5784817341
ASM,2021,9,12879.6343321483
ASM,2021,10,15236.1604875571
ASM,2021,11,15236.1604875571
ASM,2021,12,0.297884820349225
ASM,2021,13,..
ASM,2021,14,..
ASM,2021,15,..
ASM,2021,16,749999999.999998
ASM,2021,17,136.8
ASM,2021,18,..
ASM,2021,38,..
ASM,2021,40,0
AND,2021,1,2893905656.78942
AND,2021,2,2572190000
AND,2021,3,2810970000
AND,2021,4,3324647529.381
AND,2021,5,109.283140047975
AND,2021,6,109.283140047975
AND,2021,7,8.28677879049404
AND,2021,8,36929.0191515162
AND,2021,9,32823.6179878516
AND,2021,10,35870.680414476
AND,2021,11,42425.6996756291
AND,2021,12,6.92704485233561
AND,2021,13,..
AND,2021,14,..
AND,2021,15,..
AND,2021,16,2810970000.00001
AND,2021,17,..
AND,2021,18,86.5395268201732
AND,2021,38,..
AND,2021,40,0
AGO,2021,1,82375341952.5616
AGO,2021,2,1478228000000
AGO,2021,3,44535941000000
AGO,2021,4,66505129987.7235
AGO,2021,5,3012.79241091361
AGO,2021,6,3012.79241091361
AGO,2021,7,1.19921052145153
AGO,2021,8,2385.44881834294
AGO,2021,9,42806.9511125325
AGO,2021,10,1289684.57446188
AGO,2021,11,1925.87466082167
AGO,2021,12,-1.96959068680444
AGO,2021,13,20911.1649951745
AGO,2021,14,..
AGO,2021,15,..
AGO,2021,16,44535941000000
AGO,2021,17,74.4644985871074
AGO,2021,18,10.741839537244
AGO,2021,38,0.0987520139250208
AGO,2021,40,0.68064589862518
ATG,2021,1,1484148566.07947
ATG,2021,2,4059310000
ATG,2021,3,4323690000
ATG,2021,4,1601366666.66667
ATG,2021,5,106.512929537286
ATG,2021,6,106.512929537286
ATG,2021,7,8.1917184618173
ATG,2021,8,16071.0843222933
ATG,2021,9,43956.1879392305
ATG,2021,10,46819.0234869896
ATG,2021,11,17340.3790692554
ATG,2021,12,7.60242746368742
ATG,2021,13,..
ATG,2021,14,..
ATG,2021,15,..
ATG,2021,16,4323690000
ATG,2021,17,101.122883462968
ATG,2021,18,62.6144815183018
ATG,2021,38,0.128427177056296
ATG,2021,40,0
ARB,2021,1,2766846308188.48
ARB,2021,2,..
ARB,2021,3,..
